YYYYQ,VEHOWN,VEHNUM
19781,0.891869918699187,1.6829268292682926
19782,0.90199203187251,1.7250996015936255
19783,0.9099821746880571,1.7762923351158646
19784,0.9163738580463809,1.747013352073085
19791,0.0827790096082779,1.7664449371766444
19792,0.9103568320278503,1.7441253263707572
19793,0.922911547911548,1.759213759213759
19794,0.8996675732849804,1.7107887579329102
19801,0.904126213592233,1.6949838187702266
19802,0.8951098511693835,1.698086463501063
19803,0.8991935483870968,1.128024193548387
19804,0.9043863972400197,1.14933464760966
19811,0.9021361152508693,1.1202185792349726
19812,0.91324200913242,1.721461187214612
19813,0.896448224112056,1.1250625312656328
19814,0.9113422486379396,1.138187221396731
19821,0.8954280155642024,1.1361867704280155
19822,0.9065880039331367,1.1130776794493609
19823,0.06575619625695499,1.8002023267577136
19824,0.909181636726547,1.124750499001996
19831,0.9081934846989141,1.1495557749259624
19832,0.9199424736337488,1.1423777564717161
19833,0.9080059671805072,1.149676777722526
19834,0.9042033235581622,1.18475073313783
19841,0.8863188976377953,1.1540354330708662
19842,0.9001468428781204,1.179637787567303
19843,0.8969176351692774,1.806467913087418
19844,0.9109292248435243,1.8387096774193548
19851,0.9165346011621764,1.2319070258848388
19852,0.9127272727272727,1.2176623376623377
19853,0.07659115426105717,1.1952535059331175
19854,0.9094693028095734,1.179500520291363
19861,0.9136125654450262,1.1790575916230366
19862,0.9139344262295082,1.2069672131147542
19863,0.9700272479564033,1.2871934604904631
19864,0.9140946502057613,1.2376543209876543
19871,0.9111453518233179,1.2131484334874165
19872,0.926766374419804,1.2764311500773595
19873,0.9205194805194805,1.2264935064935065
19874,0.9337837837837838,1.9182432432432432
19881,0.900067521944632,1.8413234301147874
19882,0.9209993247805537,1.87575962187711
19883,0.9149377593360996,1.8609958506224067
19884,0.9215017064846417,1.8266211604095564
19891,0.9320652173913043,1.935461956521739
19892,0.9214876033057852,1.8230027548209367
19893,0.9149223497636731,1.8831870357866307
19894,0.9292929292929293,1.837037037037037
19901,0.08255659121171771,1.8315579227696406
19902,0.9225589225589226,1.8531986531986533
19903,0.9249329758713136,1.8632707774798927
19904,0.9163292847503374,1.9001349527665317
19911,0.9146023468057366,1.8520208604954367
19912,0.9299065420560748,1.8978638184245662
19913,0.9225634178905207,1.8945260347129507
19914,0.9178263750828363,1.8866799204771372
19921,0.9303713527851459,1.9283819628647214
19922,0.9243134628265238,1.8700602813127931
19923,0.923941798941799,1.91005291005291
19924,0.9153333333333333,1.858
19931,0.9184350132625995,1.9045092838196287
19932,0.9207723035952063,1.8475366178428763
19933,0.9341755319148937,1.9501329787234043
19934,0.9289036544850499,1.8551495016611295
19941,0.9388440860215054,1.9012096774193548
19942,0.921727395411606,1.8475033738191633
19943,0.940677966101695,1.9465449804432855
19944,0.9287141905396402,1.849433710859427
19951,0.06295559973492379,1.89662027833002
19952,0.9400399733510992,1.870752831445703
19953,0.9314516129032258,1.8689516129032258
19954,0.9281396910678308,1.8764271323035595
19961,0.9180658159838818,1.8139691067830759
19962,0.9166666666666666,1.8504098360655739
19963,0.9265993265993266,1.9043771043771043
19964,0.925752508361204,1.8749163879598663
19971,0.9384719405003381,1.9235970250169032
19972,0.9395790902919212,1.9212491513917176
19973,0.07104194857916103,1.8504736129905277
19974,0.9325236167341431,1.8400809716599191
19981,0.9272976680384087,1.842249657064472
19982,0.9454912516823688,1.9024226110363391
19983,0.9265003371544167,1.9170600134861766
19984,0.9527983816587997,2.0202292650033717
19991,0.9423337856173677,1.9294436906377206
19992,0.943127962085308,1.951252538930264
19993,0.939106901217862,1.9539918809201624
19994,0.9437052200614124,1.9355168884339815
20001,0.9477911646586346,1.9317269076305221
20002,0.9384203480589023,1.9672021419009371
20003,0.9460719041278296,1.952063914780293
20004,0.9411764705882353,1.9553752535496958
20011,0.9449664429530201,1.9496644295302012
20012,0.05080213903743316,1.9351604278074865
20013,0.943029490616622,1.9014745308310992
20014,0.9326666666666666,1.8846666666666667
20021,0.9381720430107527,1.9086021505376345
20022,0.939799331103679,1.9705685618729096
20023,0.9459639759839893,1.9372915276851235
20024,0.9473333333333334,1.942
20031,0.9393737508327782,1.9400399733510993
20032,0.9483221476510068,1.9906040268456375
20033,0.948494983277592,2.0240802675585283
20034,0.9441489361702128,1.9720744680851063
20051,0.889487870619946,0.0
20052,0.8447701532311792,0.0
20083,1.0,2.1622562674094707
20084,1.0,2.0889121338912133
