YYYYQ,GASPX2,GAS1,GAS1PX2,GAS5,GASPX1,GAS1PX1
19781,,,,,0.0003620564808110065,0.0003620564808110065
19782,,,,,0.00036483035388544326,0.00036483035388544326
19783,,,,,0.00037064492216456633,0.00037064492216456633
19784,,,,,0.00033500837520938025,0.00033500837520938025
19791,,,,,0.00033178500331785003,0.00033178500331785003
19792,,,,,0.0003057169061449098,0.0003057169061449098
19793,,,,,0.0003002101471029721,0.0003002101471029721
19794,,,,,0.0002990430622009569,0.0002990430622009569
19801,,,,,0.0004008016032064128,0.0004008016032064128
19802,,,,,0.00047393364928909954,0.00047393364928909954
19803,,,,,0.00049800796812749,0.00049800796812749
19804,,,,,0.00048496605237633366,0.00048496605237633366
19811,,,,,0.00048355899419729207,0.00048355899419729207
19812,,,,,0.0004921259842519685,0.0004921259842519685
19813,,,,,0.0004830917874396135,0.0004830917874396135
19814,,,,,0.00047551117451260106,0.00047551117451260106
19821,,,,,0.0004789272030651341,0.0004789272030651341
19822,,79.10830039525692,44.491255961844196,,0.00047709923664122136,0.2657442748091603
19823,,68.90271132376395,58.096774193548384,,0.00048007681228996637,0.00048007681228996637
19824,,72.51918367346939,50.98117154811715,,0.00048756704046806434,0.3315455875182838
19831,,73.68735271013354,42.8189233278956,,0.0004791566842357451,0.2803066602779109
19832,96.62951167728238,54.904836193447736,40.55586206896552,114.95709828393136,0.38943894389438943,0.2871287128712871
19833,79.74603174603175,75.47766043866775,50.75691699604743,133.7408610885459,0.036460865337870685,0.21730675741370928
19834,,71.28832406671962,38.38854805725971,,0.00047824007651841227,0.3314203730272597
19841,,54.05804311774461,39.24129930394432,,0.00048355899419729207,0.15232108317214701
19842,,40.64238952536825,47.66304347826087,,0.00048192771084337347,0.3103614457831325
19843,,28.647562018819503,37.8568129330254,,0.0004906771344455348,0.3469087340529931
19844,81.26096256684492,23.302568218298557,39.40275049115913,83.04735152487962,0.394811320754717,0.33773584905660375
19851,,21.900436681222708,25.033333333333335,,0.000513347022587269,0.2828542094455852
19852,,27.642178046672427,34.33444816053512,,0.0005030181086519115,0.27062374245472837
19853,55.14534161490683,27.666666666666668,34.2669245647969,58.32700993676603,0.0005141388174807198,0.0005141388174807198
19854,,27.144815766923735,54.03901437371663,,0.0005115089514066496,0.340153452685422
19861,,11.81523642732049,40.46923076923077,,0.0005076142131979696,0.24060913705583756
19862,92.42540322580645,42.75650713685978,51.537746806039486,96.48698572628044,0.0867579908675799,0.36276002029426685
19863,,34.20645709430756,36.57947434292866,,0.0005058168942842691,0.18259989883662114
19864,,34.91512605042017,46.027065527065524,,0.0005102040816326531,0.33010204081632655
19871,,41.51190476190476,44.098379629629626,,0.0005091649694501018,0.43228105906313646
19872,,40.90381426202322,40.293464858199755,,0.000510986203372509,0.40316811446090955
19873,,39.88870008496177,30.069634703196346,,0.0005115089514066496,0.4358056265984655
19874,,29.418958031837917,30.87142857142857,,0.0006662225183211193,0.4710193204530313
19881,,27.114778694673667,30.45869947275923,,0.0006657789613848203,0.48868175765645805
19882,,34.35850439882698,27.875,,0.0006648936170212766,0.4408244680851064
19883,,51.3469387755102,57.220877458396366,,0.0006662225183211193,0.40306462358427714
19884,,38.92666666666667,37.30015552099533,,0.0006626905235255136,0.4459907223326706
19891,,28.941690962099127,31.294805194805196,,0.0006653359946773121,0.49101796407185627
19892,,55.794469357249625,58.39278752436647,,0.0006622516556291391,0.19337748344370861
19893,,39.785239852398526,44.350449293966626,,0.0006626905235255136,0.3605036447978794
19894,,39.606521739130436,36.06697108066971,,0.0006657789613848203,0.05193075898801598
